1972-07-17T21:56:00.000000Z,C
1972-11-06T04:24:00.000000Z,C
1972-11-08T18:43:00.000000Z,C
1972-11-22T20:53:00.000000Z,C
1972-11-24T21:37:00.000000Z,C
1973-02-13T05:16:00.000000Z,C
1973-06-20T20:25:00.000000Z,H
1973-07-31T09:55:00.000000Z,C
1973-12-18T21:07:00.000000Z,C
1974-05-19T19:16:00.000000Z,C
1974-07-11T00:52:00.000000Z,H
1974-08-14T17:59:00.000000Z,C
1974-11-11T17:00:00.000000Z,C
1974-11-21T13:16:00.000000Z,C
1974-12-09T09:30:00.000000Z,C
1974-12-15T11:37:00.000000Z,C
1974-12-25T21:24:00.000000Z,C
1975-01-03T01:47:00.000000Z,H
1975-02-19T23:11:00.000000Z,C
1975-03-26T00:46:00.000000Z,C
1975-03-26T18:48:00.000000Z,C
1975-04-12T18:15:00.000000Z,C
1975-06-23T09:12:00.000000Z,C
1975-06-25T09:14:00.000000Z,C
1975-08-10T06:32:00.000000Z,C
1975-10-04T08:43:00.000000Z,C
1976-01-13T07:14:00.000000Z,C
1976-01-25T16:10:00.000000Z,C
1976-02-27T20:14:00.000000Z,C
1976-03-06T10:16:00.000000Z,H
1976-04-30T11:53:00.000000Z,C
1976-05-16T12:48:00.000000Z,C
1976-07-24T22:22:00.000000Z,C
1976-08-04T19:05:00.000000Z,C
1976-09-21T16:03:00.000000Z,C
1977-01-07T03:50:00.000000Z,C
1977-01-18T00:18:00.000000Z,C
1977-02-18T10:48:00.000000Z,C
1977-04-17T23:35:00.000000Z,C
1977-06-02T14:26:00.000000Z,C
1977-07-31T20:53:00.000000Z,C
